Sample_name,Length_mean,Length_SD,water,temp,timepoint,treat,Chamber
BS18_0hpi_20x_stack2,213.2626671,8.237732602,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack3,206.7882013,21.15093838,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack4,183.6556047,11.6195304,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack5,192.6787601,5.177563266,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack6,179.303382,6.410028485,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack7,217.5074958,9.484227067,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack8,170.2699727,3.93449413,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack9,202.0010531,26.54726372,LMR,18,0hpi,LMR_18,BS18
HF14_0hpi_20x_stack1,221.8710408,36.97134495,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack10,212.4511191,20.83957134,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack2,233.1646821,26.90363138,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack3,228.7046148,29.34802771,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack4,232.8381868,14.44251815,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack5,245.8448962,20.49509009,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack6,268.0892191,7.283338653,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack7,270.6828302,12.01219499,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack8,244.9608762,17.42112151,HMR,14,0hpi,HMR_14,HF14
HF14_0hpi_20x_stack9,222.8294054,18.09039641,HMR,14,0hpi,HMR_14,HF14
HF18_0hpi_20x_stack1,201.6694864,28.85493072,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack10,239.0678681,5.872319228,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack11,238.8141667,15.24859314,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack2,260.7967543,8.121385028,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack3,216.1396757,24.22221408,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack4,246.4784787,13.3838022,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack5,231.9788745,6.01639172,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack6,226.6105147,13.16829364,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack7,212.8612702,17.486342,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack8,205.868633,17.68382183,HMR,18,0hpi,HMR_18,HF18
HF18_0hpi_20x_stack9,216.2640612,13.73654091,HMR,18,0hpi,HMR_18,HF18
HS14_0hpi_20x_stack1,256.7869685,19.95617105,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack10,251.2055024,22.75831203,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack11,217.0602619,9.13131469,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack2,280.9126126,14.4910887,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack3,266.3728631,13.81616487,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack4,249.3592279,20.02901805,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack5,245.4865827,17.32994572,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack6,271.3117339,18.40530713,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack7,277.437137,16.72974001,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack8,260.7456829,10.79687824,LMR,14,0hpi,LMR_14,HS14
HS14_0hpi_20x_stack9,259.2834126,21.20474469,LMR,14,0hpi,LMR_14,HS14
HS18_0hpi_20x_stack1,185.2420108,14.66327106,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack10,163.7234461,21.36416719,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack2,211.4567007,22.86100665,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack3,212.7312213,29.18802488,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack4,214.0886856,12.10406105,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack5,190.1031503,133.4552598,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack6,220.669067,9.391672385,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack7,236.6006585,6.913375764,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack8,201.839501,13.21489346,LMR,18,0hpi,LMR_18,HS18
HS18_0hpi_20x_stack9,219.1306238,7.225975719,LMR,18,0hpi,LMR_18,HS18
TF14_0hpi_20x_stack1,210.3955753,18.04262883,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack10,242.8340987,25.38416535,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack11,241.1985916,13.69869776,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack12,252.5460659,9.415798871,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack2,196.0489897,30.85552122,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack3,231.680759,17.79640939,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack4,252.8631282,19.36487579,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack5,233.4732364,8.055799238,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack6,233.4011495,13.74247654,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack7,246.2076765,17.84653515,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack8,255.0470014,5.664496518,HMR,14,0hpi,HMR_14,TF14
TF14_0hpi_20x_stack9,252.7455834,21.5486247,HMR,14,0hpi,HMR_14,TF14
TF18_0hpi_20x_stack1,255.6388808,9.594086006,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack10,263.1779789,12.00844706,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack2,276.8794193,4.864948696,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack3,224.8171943,8.506485508,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack4,220.0917003,9.934277158,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack5,231.3029668,14.43029024,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack6,236.1239886,8.848463442,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack7,223.6064483,0.984428413,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack8,249.2945544,17.7828681,HMR,18,0hpi,HMR_18,TF18
TF18_0hpi_20x_stack9,207.9830489,20.12723793,HMR,18,0hpi,HMR_18,TF18
TS14_0hpi_20x_stack1,208.3272252,11.69111731,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack10,206.7950408,7.889316915,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack11,207.4863271,9.489446779,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack2,205.5181,12.28008007,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack3,232.8297396,18.89128189,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack4,226.2719574,2.757198758,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack5,231.4920798,12.44656141,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack6,212.0845514,18.15223724,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack7,215.8657548,5.812144762,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack8,206.8764048,20.58072375,LMR,14,0hpi,LMR_14,TS14
TS14_0hpi_20x_stack9,235.9298299,17.93470803,LMR,14,0hpi,LMR_14,TS14
TS18_0hpi_20x_stack10,217.047376,14.129473,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack11,261.1798513,12.88109204,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack2,230.4756733,14.69779548,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack3,258.175832,18.65238012,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack6,259.6388234,19.34426084,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack7,214.9493424,8.666965786,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack8,215.4241837,8.260273532,LMR,18,0hpi,LMR_18,TS18
TS18_0hpi_20x_stack9,221.9432824,21.03137067,LMR,18,0hpi,LMR_18,TS18
